19:10:35:942 [ALWAYS]	GUDE Logging Started
19:10:35:943 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:10:35:943 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:10:35:943 [ERROR]	Initialize resume cache pointer failure
19:10:35:943 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:10:35:943 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:10:41:265 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:10:41:265 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:10:41:265 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:10:41:266 [ERROR]	Initialize resume cache pointer failure
19:10:41:266 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:10:41:266 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
